dataset_name,accuracy_base,accuracy_ttt,delta_accuracy,delta_correct,accuracy_direction,n_train_base,n_val_base,n_test_base,n_features_base,n_classes_base,ttt_applied_bool,baseline_fallback_fill,true_ttt_accepted,ttt_steps,ttt_loss,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_split_reason,info_total_rows,info_train_size,info_val_size,info_test_size,info_n_features,info_n_num_features,info_n_cat_features,info_n_classes,info_imbalance_ratio,sample_size_bin,feature_count_bin,error_ttt
national-longitudinal-survey-binary,1.0,1.0,0.0,0.0,持平,3926,786,982,16,2,True,False,False,8,0.0001843574314079,75.74071025848389,30,1,epoch_chunk,1.0,1.0,0,True,full train set chunked per epoch | validation=dataset_val_split,4908,3140,786,982,16,9,7,2,1.648677819751754,1k-5k,11-30,
one-hundred-plants-margin,0.903125,0.903125,0.0,0.0,持平,1280,256,320,64,100,False,False,False,0,,0.4620857238769531,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,1600,1024,256,320,64,64,0,100,1.0,1k-5k,31-100,
one-hundred-plants-shape,0.840625,0.840625,0.0,0.0,持平,1280,256,320,64,100,False,False,False,0,,0.4612984657287597,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,1600,1024,256,320,64,64,0,100,1.0,1k-5k,31-100,
one-hundred-plants-texture,0.928125,0.928125,0.0,0.0,持平,1279,256,320,64,100,False,False,False,0,,0.4650275707244873,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=100 exceeds model max_classes=10,1599,1023,256,320,64,64,0,100,1.0666666666666667,1k-5k,31-100,
online_shoppers,0.9059205190592052,0.9059205190592052,0.0,0.0,持平,9864,1973,2466,14,2,True,False,False,8,0.2152217044495046,272.33220314979553,30,1,epoch_chunk,0.9011657374556512,0.9011657374556512,0,True,full train set chunked per epoch | validation=dataset_val_split,12330,7891,1973,2466,14,5,9,2,5.462264150943396,5k-20k,11-30,
optdigits,0.9973309608540926,0.9973309608540926,0.0,0.0,持平,4496,900,1124,64,10,True,False,True,9,0.0165812732593622,206.0330753326416,30,1,epoch_chunk,0.99,0.9922222222222222,1,True,full train set chunked per epoch | validation=dataset_val_split,5620,3596,900,1124,64,64,0,10,1.032490974729242,5k-20k,31-100,
page-blocks,0.9771689497716894,0.9771689497716894,0.0,0.0,持平,4378,876,1095,10,5,True,False,True,9,0.0540827444056049,88.76539969444275,30,1,epoch_chunk,0.9691780821917808,0.9726027397260274,1,True,full train set chunked per epoch | validation=dataset_val_split,5473,3502,876,1095,10,10,0,5,175.46428571428572,5k-20k,<=10,
pc1,0.945945945945946,0.945945945945946,0.0,0.0,持平,887,178,222,21,2,True,False,False,8,0.1841230052523315,20.131365537643436,30,1,epoch_chunk,0.9325842696629212,0.9325842696629212,0,True,full train set chunked per epoch | validation=dataset_val_split,1109,709,178,222,21,21,0,2,13.402597402597403,1k-5k,11-30,
pc3,0.9009584664536742,0.9009584664536742,0.0,0.0,持平,1250,250,313,37,2,True,False,False,8,0.2261883406899869,33.944557428359985,30,1,epoch_chunk,0.892,0.892,0,True,full train set chunked per epoch | validation=dataset_val_split,1563,1000,250,313,37,37,0,2,8.76875,1k-5k,31-100,
pc4,0.910958904109589,0.910958904109589,0.0,0.0,持平,1166,234,292,37,2,True,False,True,23,0.1551613127812743,90.1468198299408,30,1,epoch_chunk,0.9230769230769232,0.9316239316239316,15,True,full train set chunked per epoch | validation=dataset_val_split,1458,932,234,292,37,37,0,2,7.191011235955056,1k-5k,31-100,
pendigits,0.9972714870395636,0.9972714870395636,0.0,0.0,持平,8793,1759,2199,16,10,True,False,False,8,0.004954210940923,231.1585967540741,30,1,epoch_chunk,0.9982944855031268,0.9982944855031268,0,True,full train set chunked per epoch | validation=dataset_val_split,10992,7034,1759,2199,16,16,0,10,1.0843601895734598,5k-20k,11-30,
qsar,0.9004739336492891,0.9004739336492891,0.0,0.0,持平,844,169,211,40,2,True,False,False,8,0.2498009018599987,26.42250061035156,30,1,epoch_chunk,0.8875739644970414,0.8875739644970414,0,True,full train set chunked per epoch | validation=dataset_val_split,1055,675,169,211,40,30,10,2,1.9634831460674158,1k-5k,31-100,
rice_cammeo_and_osmancik,0.931758530183727,0.931758530183727,0.0,0.0,持平,3048,610,762,7,2,True,False,True,13,0.1617652564309537,67.63741850852966,30,1,epoch_chunk,0.9327868852459016,0.9360655737704918,5,True,full train set chunked per epoch | validation=dataset_val_split,3810,2438,610,762,7,7,0,2,,1k-5k,<=10,
seismic+bumps,0.9342359767891684,0.9342359767891684,0.0,0.0,持平,2067,414,517,18,2,True,False,False,8,0.1886345818638801,36.12348198890686,30,1,epoch_chunk,0.9347826086956522,0.9347826086956522,0,True,full train set chunked per epoch | validation=dataset_val_split,2584,1653,414,517,18,14,4,2,,1k-5k,11-30,
semeion,0.9686520376175548,0.9686520376175548,0.0,0.0,持平,1274,255,319,256,10,True,False,True,9,0.1352050397545099,187.22654247283936,30,1,epoch_chunk,0.9568627450980391,0.9607843137254902,1,True,full train set chunked per epoch | validation=dataset_val_split,1593,1019,255,319,256,256,0,10,1.0451612903225806,1k-5k,101-300,
shuttle,0.9993103448275862,0.9993103448275862,0.0,0.0,持平,46400,9280,11600,9,7,True,False,False,16,0.0006810756090089,2117.7061100006104,30,2,epoch_chunk,0.9998922413793104,0.9998922413793104,0,True,full train set chunked per epoch | validation=dataset_val_split,58000,37120,9280,11600,9,9,0,7,4558.6,20k-100k,<=10,
spambase,0.9587404994571118,0.9587404994571118,0.0,0.0,持平,3680,736,921,57,2,True,False,True,14,0.1032306689303368,221.3848087787628,30,1,epoch_chunk,0.9633152173913044,0.9660326086956522,6,True,full train set chunked per epoch | validation=dataset_val_split,4601,2944,736,921,57,57,0,2,1.5377826806398236,1k-5k,31-100,
splice,0.9608150470219436,0.9608150470219436,0.0,0.0,持平,2552,511,638,60,3,True,False,True,11,0.0954090310260653,119.77884101867676,30,1,epoch_chunk,0.9686888454011742,0.9706457925636008,3,True,full train set chunked per epoch | validation=dataset_val_split,3190,2041,511,638,60,0,60,3,2.1577574967405475,1k-5k,31-100,
sports_articles_for_objectivity_analysis,0.845,0.845,0.0,0.0,持平,800,160,200,59,2,True,False,False,8,0.4527423158288002,30.720256090164185,30,1,epoch_chunk,0.8375,0.8375,0,True,full train set chunked per epoch | validation=dataset_val_split,1000,640,160,200,59,57,2,2,,<=1k,31-100,
statlog,0.73,0.73,0.0,0.0,持平,800,160,200,20,2,True,False,False,8,0.4537084717303514,18.923298835754395,30,1,epoch_chunk,0.76875,0.76875,0,True,full train set chunked per epoch | validation=dataset_val_split,1000,640,160,200,20,7,13,2,,<=1k,11-30,
sylvine,0.977560975609756,0.977560975609756,0.0,0.0,持平,4099,820,1025,20,2,True,False,False,8,0.0727274704258889,85.79214596748352,30,1,epoch_chunk,0.9792682926829268,0.9792682926829268,0,True,full train set chunked per epoch | validation=dataset_val_split,5124,3279,820,1025,20,20,0,2,1.0,5k-20k,11-30,
telco-customer-churn,0.8055358410220014,0.8055358410220014,0.0,0.0,持平,5634,1127,1409,18,2,True,False,False,8,0.4183853268623352,127.95896220207214,30,1,epoch_chunk,0.8163265306122449,0.8163265306122449,0,True,full train set chunked per epoch | validation=dataset_val_split,7043,4507,1127,1409,18,3,15,2,2.7683253076511503,5k-20k,11-30,
texture,1.0,1.0,0.0,0.0,持平,4400,880,1100,40,11,False,False,False,0,,0.4792940616607666,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=11 exceeds model max_classes=10,5500,3520,880,1100,40,40,0,11,1.0,5k-20k,31-100,
thyroid,0.9958333333333332,0.9958333333333332,0.0,0.0,持平,5760,1152,1440,21,3,True,False,True,12,0.0087089860608102,206.97781658172607,30,1,epoch_chunk,0.9939236111111112,0.9947916666666666,4,True,full train set chunked per epoch | validation=dataset_val_split,7200,4608,1152,1440,21,21,0,3,,5k-20k,11-30,
thyroid-ann,0.9920529801324504,0.9920529801324504,0.0,0.0,持平,3017,604,755,21,3,True,False,False,8,0.0070541420282097,61.43502569198608,30,1,epoch_chunk,0.9950331125827816,0.9950331125827816,0,True,full train set chunked per epoch | validation=dataset_val_split,3772,2413,604,755,21,21,0,3,37.505376344086024,1k-5k,11-30,
thyroid-dis,0.6982142857142857,0.6982142857142857,0.0,0.0,持平,2240,448,560,26,5,True,False,False,8,0.6808900311589241,47.44251775741577,30,1,epoch_chunk,0.7388392857142857,0.7388392857142857,0,True,full train set chunked per epoch | validation=dataset_val_split,2800,1792,448,560,26,6,20,5,52.645161290322584,1k-5k,11-30,
turiye_student_evaluation,0.5197594501718213,0.5197594501718213,0.0,0.0,持平,4656,932,1164,32,5,True,False,False,8,1.1892214193940165,126.17388606071472,30,1,epoch_chunk,0.5118025751072961,0.5118025751072961,0,True,full train set chunked per epoch | validation=dataset_val_split,5820,3724,932,1164,32,30,2,5,,5k-20k,31-100,
twonorm,0.9777027027027028,0.9777027027027028,0.0,0.0,持平,5920,1184,1480,20,2,True,False,False,8,0.0480507134925574,140.46624064445496,30,1,epoch_chunk,0.977195945945946,0.977195945945946,0,True,full train set chunked per epoch | validation=dataset_val_split,7400,4736,1184,1480,20,20,0,2,1.0016229375169057,5k-20k,11-30,
vehicle,0.8764705882352941,0.8764705882352941,0.0,0.0,持平,676,136,170,18,4,True,False,True,17,0.2101029730401933,35.67223834991455,30,1,epoch_chunk,0.9044117647058824,0.9191176470588236,9,True,full train set chunked per epoch | validation=dataset_val_split,846,540,136,170,18,18,0,4,1.0954773869346734,<=1k,11-30,
volkert,0.7511576058995026,0.7511576058995026,0.0,0.0,持平,46648,9330,11662,180,10,False,False,False,0,,0.0,0,0,,,,0,False,TTT skipped for dataset=volkert to avoid OOM,58310,37318,9330,11662,180,180,0,10,9.409257898603968,20k-100k,101-300,
walking-activity,0.6750929119094653,0.6750929119094653,0.0,0.0,持平,119465,23893,29867,4,22,False,False,False,0,,0.717299222946167,0,0,epoch_chunk,,,0,False,full train set chunked per epoch | validation=dataset_val_split | TTT training skipped because n_classes=22 exceeds model max_classes=10,149332,95572,23893,29867,4,4,0,22,,>100k,<=10,
wall-robot-navigation,0.9935897435897436,0.9935897435897436,0.0,0.0,持平,4364,873,1092,24,4,True,False,True,11,0.0299596265540458,139.37115240097046,30,1,epoch_chunk,0.983963344788087,0.9851088201603666,3,True,full train set chunked per epoch | validation=dataset_val_split,5456,3491,873,1092,24,24,0,4,6.722560975609756,5k-20k,11-30,
water_quality,0.911875,0.911875,0.0,0.0,持平,6396,1280,1600,20,2,True,False,False,8,0.2400781228207051,146.618825674057,30,1,epoch_chunk,0.89609375,0.89609375,0,True,full train set chunked per epoch | validation=dataset_val_split,7996,5116,1280,1600,20,20,0,2,,5k-20k,11-30,
waveform_database_generator_version_1,0.871,0.871,0.0,0.0,持平,4000,800,1000,21,3,True,False,False,8,0.2614504313096404,85.49048280715942,30,1,epoch_chunk,0.85875,0.85875,0,True,full train set chunked per epoch | validation=dataset_val_split,5000,3200,800,1000,21,21,0,3,,1k-5k,11-30,
website_phishing,0.92619926199262,0.92619926199262,0.0,0.0,持平,1082,217,271,9,3,True,False,False,8,0.1908144778572023,18.60886693000793,30,1,epoch_chunk,0.9216589861751152,0.9216589861751152,0,True,full train set chunked per epoch | validation=dataset_val_split,1353,865,217,271,9,0,9,3,,1k-5k,<=10,
wine,0.786692759295499,0.786692759295499,0.0,0.0,持平,2043,409,511,4,2,True,False,False,8,0.4448084514588117,14.853793382644652,30,1,epoch_chunk,0.8312958435207825,0.8312958435207825,0,True,full train set chunked per epoch | validation=dataset_val_split,2554,1634,409,511,4,4,0,2,1.0,1k-5k,<=10,
wine-quality-white,0.689795918367347,0.689795918367347,0.0,0.0,持平,3918,784,980,11,7,True,False,False,8,0.7750661801546812,68.10572695732117,30,1,epoch_chunk,0.6875,0.6875,0,True,full train set chunked per epoch | validation=dataset_val_split,4898,3134,784,980,11,11,0,7,439.6,1k-5k,11-30,
BNG(tic-tac-toe),0.8148336296672594,0.8147066294132588,-0.00012700025400058657,-1.0000000000006186,下降,31492,6299,7874,9,2,True,False,False,16,0.44578308891505,1338.7075130939484,30,2,epoch_chunk,0.8088585489760279,0.8088585489760279,0,True,full train set chunked per epoch | validation=dataset_val_split,39366,25193,6299,7874,9,0,9,2,1.8810011709601873,20k-100k,<=10,
eeg-eye-state,0.9939919893190922,0.9936582109479306,-0.00033377837116155273,-1.000000000000012,下降,11984,2397,2996,14,2,True,False,True,9,0.0356047964887693,408.1497888565064,30,1,epoch_chunk,0.9929078014184396,0.9937421777221528,1,True,full train set chunked per epoch | validation=dataset_val_split,14980,9587,2397,2996,14,14,0,2,1.228171947047449,5k-20k,11-30,
mammography,0.989718372820742,0.9892713455520786,-0.0004470272686634136,-1.0000000000000562,下降,8946,1790,2237,6,2,True,False,True,16,0.041713966988027,301.307434797287,30,1,epoch_chunk,0.987709497206704,0.988268156424581,8,True,full train set chunked per epoch | validation=dataset_val_split,11183,7156,1790,2237,6,6,0,2,42.011538461538464,5k-20k,<=10,
mobile_c36_oversampling,0.9943006182380216,0.9938176197836168,-0.0004829984544048038,-4.999999999998529,下降,41408,8282,10352,6,2,True,False,True,24,0.0314653589157387,1946.6710455417635,30,2,epoch_chunk,0.9944457860420188,0.9948080173871046,4,True,full train set chunked per epoch | validation=dataset_val_split,51760,33126,8282,10352,6,6,0,2,,20k-100k,<=10,
Bank_Customer_Churn_Dataset,0.875,0.8745,-0.0004999999999999449,-0.9999999999998899,下降,8000,1600,2000,10,2,True,False,True,12,0.3139172289520502,271.448184967041,30,1,epoch_chunk,0.865,0.869375,4,True,full train set chunked per epoch | validation=dataset_val_split,10000,6400,1600,2000,10,6,4,2,,5k-20k,<=10,
taiwanese_bankruptcy_prediction,0.9714076246334312,0.9706744868035192,-0.0007331378299120228,-0.9999999999999991,下降,5455,1091,1364,95,2,True,False,True,16,0.0874876040033996,620.4687595367432,30,1,epoch_chunk,0.9679193400549956,0.9715857011915674,8,True,full train set chunked per epoch | validation=dataset_val_split,6819,4364,1091,1364,95,95,0,2,,5k-20k,31-100,
pol,0.9940505701536936,0.9930589985126426,-0.0009915716410510145,-1.999999999999896,下降,8065,1613,2017,26,2,True,False,True,16,0.0322630872251465,474.7164912223816,30,1,epoch_chunk,0.9919404835709856,0.9931804091754496,8,True,full train set chunked per epoch | validation=dataset_val_split,10082,6452,1613,2017,26,26,0,2,1.0,5k-20k,11-30,
HR_Analytics_Job_Change_of_Data_Scientists,0.8006263048016702,0.7995824634655533,-0.0010438413361169019,-3.999999999999968,下降,15326,3066,3832,13,2,True,False,True,13,0.4292633756995201,880.822921037674,30,1,epoch_chunk,0.8062622309197651,0.8065883887801696,5,True,full train set chunked per epoch | validation=dataset_val_split,19158,12260,3066,3832,13,3,10,2,,5k-20k,11-30,
Gender_Gap_in_Spanish_WP,0.6147368421052631,0.6136842105263158,-0.001052631578947305,-0.9999999999999398,下降,3796,760,950,13,3,True,False,True,12,0.8009328488260508,101.62232851982117,30,1,epoch_chunk,0.6157894736842106,0.6223684210526316,4,True,full train set chunked per epoch | validation=dataset_val_split,4746,3036,760,950,13,13,0,3,,1k-5k,11-30,
okcupid_stem,0.75,0.7488755622188905,-0.0011244377811094886,-6.000000000000231,下降,21341,4269,5336,13,3,True,False,True,30,0.5802363436669111,3602.3847727775574,30,1,epoch_chunk,0.7519325368938862,0.7554462403373156,22,True,full train set chunked per epoch | validation=dataset_val_split,26677,17072,4269,5336,13,2,11,3,6.826226012793177,20k-100k,11-30,
ringnorm,0.9797297297297296,0.9783783783783784,-0.0013513513513512265,-1.9999999999998153,下降,5920,1184,1480,20,2,True,False,True,11,0.0465884143486619,191.467889547348,30,1,epoch_chunk,0.981418918918919,0.9822635135135136,3,True,full train set chunked per epoch | validation=dataset_val_split,7400,4736,1184,1480,20,20,0,2,1.019650655021834,5k-20k,11-30,
first-order-theorem-proving,0.6511437908496732,0.6495098039215687,-0.0016339869281045694,-1.999999999999993,下降,4894,979,1224,51,6,True,False,True,21,1.1348651684820652,446.7165257930756,30,1,epoch_chunk,0.6302349336057201,0.6363636363636364,13,True,full train set chunked per epoch | validation=dataset_val_split,6118,3915,979,1224,51,51,0,6,5.255144032921811,5k-20k,31-100,
phoneme,0.9037927844588344,0.9019426456984274,-0.0018501387604069608,-1.9999999999999245,下降,4323,865,1081,5,2,True,False,True,9,0.1713339546695351,51.46936702728272,30,1,epoch_chunk,0.9283236994219654,0.930635838150289,1,True,full train set chunked per epoch | validation=dataset_val_split,5404,3458,865,1081,5,5,0,2,2.407313997477932,5k-20k,<=10,
Pumpkin_Seeds,0.882,0.88,-0.0020000000000000018,-1.0000000000000009,下降,2000,400,500,12,2,True,False,True,11,0.2565745422616601,42.72632956504822,30,1,epoch_chunk,0.87,0.8775,3,True,full train set chunked per epoch | validation=dataset_val_split,2500,1600,400,500,12,12,0,2,,1k-5k,11-30,
segment,0.9545454545454546,0.9523809523809524,-0.0021645021645021467,-0.9999999999999918,下降,1848,370,462,17,7,True,False,True,12,0.0855577944312244,47.55790257453919,30,1,epoch_chunk,0.9432432432432432,0.9513513513513514,4,True,full train set chunked per epoch | validation=dataset_val_split,2310,1478,370,462,17,17,0,7,1.0,1k-5k,11-30,
PhishingWebsites,0.9805517865219358,0.9782903663500678,-0.0022614201718679228,-4.999999999999977,下降,8844,1769,2211,30,2,True,False,True,21,0.057934240438044,772.3314237594604,30,1,epoch_chunk,0.9768230638778972,0.979649519502544,13,True,full train set chunked per epoch | validation=dataset_val_split,11055,7075,1769,2211,30,0,30,2,1.2570436913025724,5k-20k,11-30,
FOREX_audcad-hour-High,0.7176269252709641,0.7151169423844838,-0.0025099828864802998,-21.999999999999826,下降,35060,7012,8765,10,2,True,False,True,30,0.5515439976006746,2774.566737174988,30,2,epoch_chunk,0.7164860239589276,0.7174843126069596,7,True,full train set chunked per epoch | validation=dataset_val_split,43825,28048,7012,8765,10,10,0,2,1.0605106022850157,20k-100k,<=10,
FOREX_audjpy-day-High,0.7874659400544959,0.784741144414169,-0.0027247956403269047,-0.999999999999974,下降,1465,293,367,10,2,True,False,True,13,0.4976360062137246,35.93811631202698,30,1,epoch_chunk,0.7542662116040956,0.757679180887372,5,True,full train set chunked per epoch | validation=dataset_val_split,1832,1172,293,367,10,10,0,2,1.0561167227833894,1k-5k,<=10,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,0.684375,0.68125,-0.0031249999999999334,-0.9999999999999787,下降,1280,256,320,20,2,True,False,True,17,0.491425615735352,51.70523285865784,30,1,epoch_chunk,0.66796875,0.6796875,9,True,full train set chunked per epoch | validation=dataset_val_split,1600,1024,256,320,20,0,20,2,1.0,1k-5k,11-30,
Fitness_Club_c,0.8033333333333333,0.8,-0.0033333333333332993,-0.9999999999999898,下降,1200,240,300,6,2,True,False,True,10,0.4508652407675981,17.75402808189392,30,1,epoch_chunk,0.7666666666666667,0.775,2,True,full train set chunked per epoch | validation=dataset_val_split,1500,960,240,300,6,3,3,2,,1k-5k,<=10,
heloc,0.733,0.729,-0.0040000000000000036,-8.000000000000007,下降,8000,1600,2000,22,2,True,False,True,17,0.5416868440806866,473.91660809516907,30,1,epoch_chunk,0.72375,0.725,9,True,full train set chunked per epoch | validation=dataset_val_split,10000,6400,1600,2000,22,22,0,2,1.0,5k-20k,11-30,
Water_Quality_and_Potability,0.6570121951219512,0.6524390243902439,-0.004573170731707266,-2.9999999999999662,下降,2620,524,656,8,2,True,False,True,14,0.646893534809351,67.92489433288574,30,1,epoch_chunk,0.6412213740458015,0.6450381679389313,6,True,full train set chunked per epoch | validation=dataset_val_split,3276,2096,524,656,8,8,0,2,,1k-5k,<=10,
QSAR_biodegradation,0.8909952606635071,0.8862559241706162,-0.004739336492890933,-0.9999999999999869,下降,843,169,211,41,2,True,False,True,9,0.2890466507524252,30.177149057388306,30,1,epoch_chunk,0.863905325443787,0.8698224852071006,1,True,full train set chunked per epoch | validation=dataset_val_split,1054,674,169,211,41,41,0,2,,1k-5k,31-100,
wine-quality-red,0.68125,0.675,-0.006249999999999978,-1.999999999999993,下降,1279,256,320,4,6,True,False,True,9,0.7830860875546932,20.45063853263855,30,1,epoch_chunk,0.65625,0.66015625,1,True,full train set chunked per epoch | validation=dataset_val_split,1599,1023,256,320,4,4,0,6,68.1,1k-5k,<=10,
yeast,0.6363636363636364,0.6296296296296297,-0.006734006734006703,-1.999999999999991,下降,1187,238,297,8,10,True,False,True,27,0.9691375717520714,61.84315061569214,30,1,epoch_chunk,0.5546218487394958,0.5714285714285714,19,True,full train set chunked per epoch | validation=dataset_val_split,1484,949,238,297,8,8,0,10,92.6,1k-5k,<=10,
cmc,0.6033898305084746,0.5966101694915255,-0.006779661016949157,-2.0000000000000013,下降,1178,236,295,9,3,True,False,True,13,0.8889579363167286,30.926034688949585,30,1,epoch_chunk,0.5466101694915254,0.5508474576271186,5,True,full train set chunked per epoch | validation=dataset_val_split,1473,942,236,295,9,2,7,3,1.8888888888888888,1k-5k,<=10,
led24,0.734375,0.725,-0.009375000000000022,-6.000000000000014,下降,2560,512,640,24,10,True,False,True,26,0.8349487148225307,171.85099005699158,30,1,epoch_chunk,0.71484375,0.728515625,18,True,full train set chunked per epoch | validation=dataset_val_split,3200,2048,512,640,24,0,24,10,1.1385135135135136,1k-5k,11-30,
contraceptive_method_choice,0.6372881355932203,0.6271186440677966,-0.01016949152542368,-2.9999999999999853,下降,1178,236,295,9,3,True,False,True,16,0.899819802492857,37.942445039749146,30,1,epoch_chunk,0.538135593220339,0.5423728813559322,8,True,full train set chunked per epoch | validation=dataset_val_split,1473,942,236,295,9,5,4,3,,1k-5k,<=10,
autoUniv-au4-2500,0.728,0.714,-0.014000000000000012,-7.000000000000006,下降,2000,400,500,100,3,True,False,True,12,0.747098796069622,150.13392519950867,30,1,epoch_chunk,0.7075,0.72,4,True,full train set chunked per epoch | validation=dataset_val_split,2500,1600,400,500,100,58,42,3,5.98469387755102,1k-5k,31-100,
FOREX_cadjpy-day-High,0.7275204359673024,0.7111716621253406,-0.016348773841961872,-6.000000000000007,下降,1467,294,367,10,2,True,False,True,24,0.5241256896406412,65.27438688278198,30,1,epoch_chunk,0.7006802721088435,0.7210884353741497,16,True,full train set chunked per epoch | validation=dataset_val_split,1834,1173,294,367,10,10,0,2,1.0065645514223194,1k-5k,<=10,
