dataset_name,task_type,step,baseline_acc,accuracy,delta
artificial-characters,multiclass,50,0.8639921722113503,0.8825831702544031,0.018590998043052864
autoUniv-au7-1100,multiclass,50,0.4045454545454545,0.4227272727272727,0.018181818181818188
mfeat-zernike,multiclass,50,0.8525,0.87,0.01749999999999996
jungle_chess_2pcs_raw_endgame_complete,multiclass,50,0.8624497991967871,0.8796296296296297,0.017179830432842547
autoUniv-au4-2500,multiclass,50,0.522,0.538,0.016000000000000014
FOREX_audsgd-hour-High,binclass,40,0.6838562464346833,0.6990302338847689,0.01517398745008558
satimage,multiclass,30,0.9284603421461898,0.942457231726283,0.013996889580093264
FOREX_audusd-hour-High,binclass,30,0.6816885339418141,0.6956075299486595,0.01391899600684543
turiye_student_evaluation,multiclass,50,0.5223367697594502,0.5352233676975945,0.012886597938144284
compass,binclass,50,0.8266746770802043,0.8392910784019225,0.012616401321718262
mfeat-fourier,multiclass,50,0.885,0.8975,0.012499999999999956
eye_movements_bin,binclass,50,0.6254927726675427,0.6379763469119579,0.012483574244415263
GesturePhaseSegmentationProcessed,multiclass,20,0.7863291139240506,0.7984810126582278,0.012151898734177213
website_phishing,multiclass,20,0.911439114391144,0.922509225092251,0.011070110701106972
eye_movements,multiclass,40,0.7148080438756855,0.7248628884826326,0.010054844606947055
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,binclass,3,0.6025,0.6125,0.010000000000000009
car-evaluation,multiclass,5,0.9739884393063584,0.9826589595375722,0.00867052023121384
banknote_authentication,binclass,20,0.5490909090909091,0.5563636363636364,0.0072727272727273196
waveform-5000,multiclass,20,0.866,0.873,0.007000000000000006
Fitness_Club_c,binclass,10,0.7866666666666666,0.7933333333333333,0.00666666666666671
Gender_Gap_in_Spanish_WP,multiclass,40,0.6052631578947368,0.611578947368421,0.0063157894736841635
FOREX_audjpy-hour-High,binclass,50,0.7086138049058757,0.7148887621220764,0.006274957216200749
splice,multiclass,30,0.9561128526645768,0.962382445141066,0.006269592476489172
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,50,0.66875,0.675,0.006250000000000089
led7,multiclass,20,0.7375,0.74375,0.006249999999999978
wine-quality-white,multiclass,50,0.6826530612244898,0.6887755102040817,0.00612244897959191
rl,binclass,50,0.8541247484909457,0.8601609657947686,0.006036217303822977
vehicle,multiclass,30,0.8588235294117647,0.8647058823529412,0.005882352941176561
FOREX_audjpy-day-High,binclass,10,0.7656675749318801,0.771117166212534,0.00544959128065392
thyroid-dis,multiclass,20,0.6910714285714286,0.6964285714285714,0.005357142857142838
thyroid-ann,multiclass,40,0.9880794701986756,0.9933774834437086,0.005298013245032984
in_vehicle_coupon_recommendation,binclass,10,0.7906976744186046,0.795821836815136,0.005124162396531351
qsar,binclass,40,0.90521327014218,0.909952606635071,0.004739336492891044
QSAR_biodegradation,binclass,10,0.8862559241706162,0.8909952606635071,0.004739336492890933
PieChart3,binclass,20,0.875,0.8796296296296297,0.00462962962962965
pc1,binclass,5,0.9414414414414416,0.945945945945946,0.0045045045045044585
Customer_Personality_Analysis,binclass,50,0.8839285714285714,0.8883928571428571,0.004464285714285698
Diabetic_Retinopathy_Debrecen,binclass,20,0.7489177489177489,0.7532467532467533,0.0043290043290044045
hill-valley,binclass,30,0.9300411522633744,0.934156378600823,0.004115226337448652
waveform_database_generator,multiclass,1,0.356,0.36,0.0040000000000000036
wall-robot-navigation,multiclass,40,0.9862637362637364,0.98992673992674,0.003663003663003539
FOREX_cadjpy-hour-High,binclass,50,0.7007415858528238,0.7043924700513405,0.0036508841985167795
contraceptive_method_choice,multiclass,30,0.6271186440677966,0.6305084745762712,0.003389830508474634
FOREX_audcad-hour-High,binclass,20,0.7120365088419852,0.7153451226468911,0.00330861380490588
wine-quality-red,multiclass,3,0.66875,0.671875,0.0031250000000000444
electricity,binclass,50,0.9037846187796535,0.906874103497738,0.0030894847180844565
KDDCup09_upselling,binclass,40,0.8118908382066277,0.8148148148148148,0.0029239766081871066
gina_agnostic,binclass,30,0.9279538904899136,0.930835734870317,0.0028818443804033977
FOREX_audcad-day-High,binclass,2,0.7438692098092643,0.7465940054495913,0.0027247956403270157
FOREX_audchf-day-High,binclass,1,0.7547683923705722,0.7574931880108992,0.0027247956403269047
FOREX_cadjpy-day-High,binclass,20,0.7166212534059946,0.7193460490463215,0.0027247956403269047
mfeat-factors,multiclass,40,0.975,0.9775,0.0025000000000000577
mfeat-morphological,multiclass,40,0.76,0.7625,0.0024999999999999467
kc1,binclass,20,0.8815165876777251,0.8838862559241706,0.0023696682464454666
predict_students_dropout_and_academic_success,multiclass,40,0.7627118644067796,0.7649717514124293,0.002259887005649719
BNG(cmc),multiclass,20,0.58625678119349,0.5884267631103074,0.0021699819168173873
telco-customer-churn,binclass,50,0.8048261178140526,0.8069552874378992,0.002129169623846683
delta_ailerons,binclass,20,0.9509116409537168,0.953015427769986,0.0021037868162692153
FICO-HELOC-cleaned,binclass,40,0.7448101265822785,0.7468354430379747,0.0020253164556961467
churn,binclass,20,0.952,0.954,0.0020000000000000018
Pumpkin_Seeds,binclass,5,0.872,0.874,0.0020000000000000018
jm1,binclass,30,0.8213137344970143,0.8231511254019293,0.0018373909049149706
madeline,binclass,10,0.7531847133757962,0.7547770700636943,0.0015923566878981443
led24,multiclass,30,0.734375,0.7359375,0.0015625000000000222
Water_Quality_and_Potability,binclass,50,0.6417682926829268,0.6432926829268293,0.0015243902439024959
dry_bean_dataset,multiclass,50,0.927653323540213,0.929122291590158,0.0014689680499450075
taiwanese_bankruptcy_prediction,binclass,10,0.9706744868035192,0.9721407624633432,0.0014662756598240456
naticusdroid+android+permissions+dataset,binclass,30,0.9710243736151356,0.972387932503835,0.0013635588886994343
okcupid_stem,multiclass,50,0.7475637181409296,0.7488755622188905,0.001311844077960922
mozilla4,binclass,30,0.9401736892891605,0.9414602766162752,0.00128658732711473
credit,binclass,10,0.7828297935985642,0.784026323661382,0.0011965300628178355
abalone,multiclass,2,0.6519138755980861,0.65311004784689,0.0011961722488038617
htru,binclass,30,0.9793296089385476,0.9804469273743016,0.0011173184357540222
INNHotelsGroup,binclass,50,0.9021364576154376,0.9032391454169538,0.0011026878015162334
waveform_database_generator_version_1,multiclass,40,0.866,0.867,0.0010000000000000009
default_of_credit_card_clients,binclass,20,0.8261666666666667,0.8271666666666667,0.0010000000000000009
PhishingWebsites,binclass,5,0.979194934418815,0.9800995024875622,0.0009045680687471691
optdigits,multiclass,20,0.9955516014234876,0.99644128113879,0.000889679715302405
first-order-theorem-proving,multiclass,3,0.6372549019607843,0.6380718954248366,0.0008169934640522847
HR_Analytics_Job_Change_of_Data_Scientists,binclass,10,0.7993215031315241,0.8001043841336117,0.0007828810020876764
company_bankruptcy_prediction,binclass,2,0.9706744868035192,0.9714076246334312,0.0007331378299120228
ringnorm,binclass,30,0.9797297297297296,0.9804054054054054,0.0006756756756758353
twonorm,binclass,20,0.979054054054054,0.9797297297297296,0.0006756756756756133
BNG(tic-tac-toe),binclass,3,0.8150876301752603,0.8157226314452629,0.0006350012700025998
water_quality,binclass,30,0.908125,0.90875,0.0006249999999999867
mobile_c36_oversampling,binclass,50,0.990533230293663,0.991112828438949,0.0005795981452859644
Indian_pines,multiclass,40,0.9622744669218152,0.9628212137780208,0.0005467468562055933
Bank_Customer_Churn_Dataset,binclass,5,0.877,0.8775,0.0004999999999999449
heloc,binclass,30,0.7255,0.726,0.0004999999999999449
California-Housing-Classification,binclass,20,0.9127906976744186,0.9132751937984496,0.0004844961240310086
mammography,binclass,20,0.9888243182834152,0.9892713455520786,0.0004470272686634136
online_shoppers,binclass,4,0.9042984590429846,0.9047039740470396,0.000405515004055057
gas-drift,multiclass,50,0.9964054636951832,0.996764917325665,0.00035945363048173196
Cardiovascular-Disease-dataset,binclass,30,0.7341428571428571,0.7345,0.0003571428571429447
bank,binclass,50,0.9089903792989052,0.909322127612518,0.00033174831361271195
Amazon_employee_access,binclass,3,0.9443088190418064,0.9446139761977418,0.00030515715593537607
BNG(breast-w),binclass,5,0.9883159766319533,0.9884429768859536,0.00012700025400036452
page-blocks,multiclass,1,0.9789954337899544,0.9789954337899544,0.0
ozone-level-8hr,binclass,1,0.9566074950690336,0.9566074950690336,0.0
one-hundred-plants-shape,multiclass,1,0.8,0.8,0.0
one-hundred-plants-texture,multiclass,1,0.91875,0.91875,0.0
spambase,binclass,1,0.9598262757871878,0.9598262757871878,0.0
pc3,binclass,1,0.9009584664536742,0.9009584664536742,0.0
statlog,binclass,1,0.745,0.745,0.0
wine,binclass,1,0.7749510763209393,0.7749510763209393,0.0
walking-activity,multiclass,1,0.6641443733886898,0.6641443733886898,0.0
volkert,multiclass,1,0.7337506431143886,0.7337506431143886,0.0
thyroid,multiclass,1,0.99375,0.99375,0.0
texture,multiclass,1,1.0,1.0,0.0
sylvine,binclass,1,0.9707317073170731,0.9707317073170731,0.0
steel_plates_faults,multiclass,1,0.8380462724935732,0.8380462724935732,0.0
sports_articles_for_objectivity_analysis,binclass,1,0.855,0.855,0.0
pc4,binclass,1,0.9143835616438356,0.9143835616438356,0.0
shuttle,multiclass,1,0.9994827586206896,0.9994827586206896,0.0
semeion,multiclass,1,0.9592476489028212,0.9592476489028212,0.0
seismic+bumps,binclass,1,0.9342359767891684,0.9342359767891684,0.0
segment,multiclass,1,0.935064935064935,0.935064935064935,0.0
rice_cammeo_and_osmancik,binclass,1,0.9291338582677166,0.9291338582677166,0.0
pol,binclass,4,0.9836390679226574,0.9836390679226574,0.0
pendigits,multiclass,1,0.9972714870395636,0.9972714870395636,0.0
one-hundred-plants-margin,multiclass,1,0.909375,0.909375,0.0
ASP-POTASSCO-classification,multiclass,1,0.4401544401544401,0.4401544401544401,0.0
national-longitudinal-survey-binary,binclass,1,1.0,1.0,0.0
microaggregation2,multiclass,4,0.6405,0.6405,0.0
ada_agnostic,binclass,1,0.8400876232201533,0.8400876232201533,0.0
ada,binclass,1,0.8481927710843373,0.8481927710843373,0.0
Wilt,binclass,1,0.9927461139896372,0.9927461139896372,0.0
UJI_Pen_Characters,multiclass,1,0.5421245421245421,0.5421245421245421,0.0
Telecom_Churn_Dataset,binclass,1,0.9550224887556222,0.9550224887556222,0.0
Satellite,binclass,1,0.9931372549019608,0.9931372549019608,0.0
PizzaCutter3,binclass,1,0.8803827751196173,0.8803827751196173,0.0
Pima_Indians_Diabetes_Database,binclass,1,0.7467532467532467,0.7467532467532467,0.0
National_Health_and_Nutrition_Health_Survey,binclass,1,0.8399122807017544,0.8399122807017544,0.0
Mobile_Price_Classification,multiclass,1,0.94,0.94,0.0
Marketing_Campaign,binclass,1,0.890625,0.890625,0.0
MagicTelescope,binclass,1,0.8848580441640379,0.8848580441640379,0.0
MIC,binclass,1,0.9090909090909092,0.9090909090909092,0.0
JapaneseVowels,multiclass,1,0.9989964877069744,0.9989964877069744,0.0
IBM_HR_Analytics_Employee_Attrition_and_Performance,binclass,1,0.8639455782312925,0.8639455782312925,0.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1,0.68125,0.68125,0.0
Firm-Teacher_Clave-Direction_Classification,multiclass,2,0.8782407407407408,0.8782407407407408,0.0
Employee,binclass,1,0.8528464017185822,0.8528464017185822,0.0
E-CommereShippingData,binclass,1,0.6781818181818182,0.6781818181818182,0.0
Basketball_c,binclass,1,0.7126865671641791,0.7126865671641791,0.0
BLE_RSSI_dataset_for_Indoor_localization,multiclass,1,0.7406109163745619,0.7406109163745619,0.0
ada_prior,binclass,1,0.8411829134720701,0.8411829134720701,0.0
allbp,multiclass,1,0.9788079470198676,0.9788079470198676,0.0
allrep,multiclass,1,0.9854304635761588,0.9854304635761588,0.0
analcatdata_authorship,multiclass,1,0.9881656804733728,0.9881656804733728,0.0
mice_protein_expression,multiclass,1,1.0,1.0,0.0
mfeat-pixel,multiclass,1,0.975,0.975,0.0
mfeat-karhunen,multiclass,1,0.975,0.975,0.0
maternal_health_risk,multiclass,1,0.8719211822660099,0.8719211822660099,0.0
letter,multiclass,1,0.98625,0.98625,0.0
kropt,multiclass,1,0.852815395580898,0.852815395580898,0.0
kr-vs-k,multiclass,1,0.8508553100498931,0.8508553100498931,0.0
kdd_ipums_la_97-small,binclass,1,0.8882466281310212,0.8882466281310212,0.0
internet_usage,multiclass,1,0.5296735905044511,0.5296735905044511,0.0
internet_firewall,multiclass,1,0.9310292210269322,0.9310292210269322,0.0
ibm-employee-performance,binclass,1,1.0,1.0,0.0
house_16H,binclass,5,0.890659747961453,0.890659747961453,0.0
golf_play_dataset_extended,binclass,1,0.9360730593607306,0.9360730593607306,0.0
estimation_of_obesity_levels,multiclass,1,0.9858156028368794,0.9858156028368794,0.0
eeg-eye-state,binclass,1,0.9913217623497996,0.9913217623497996,0.0
drug_consumption,multiclass,1,0.403183023872679,0.403183023872679,0.0
dna,multiclass,1,0.9655172413793104,0.9655172413793104,0.0
dis,binclass,1,0.9841059602649008,0.9841059602649008,0.0
cmc,multiclass,1,0.5898305084745763,0.5898305084745763,0.0
baseball,multiclass,1,0.9477611940298508,0.9477611940298508,0.0
yeast,multiclass,40,0.6296296296296297,0.6296296296296297,0.0
Click_prediction_small,binclass,1,0.8320400500625782,0.8319148936170213,-0.00012515644555688432
phoneme,binclass,1,0.9037927844588344,0.902867715078631,-0.0009250693802034249
